FinanceDate,Revenue,OperatingCosts,InfrastructureCosts,MarketingCosts,ForecastRevenue,Budget
2024-06-21,30702.25,8592.58,12534.18,463.55,25839.64,25207.86
2024-06-22,29931.0,8639.39,12681.43,422.68,26322.74,25428.67
2024-06-23,28714.07,8588.39,12722.48,519.89,26654.8,25562.43
2024-06-24,30348.03,8746.98,12872.8,511.01,26940.59,25902.47
2024-06-25,31636.53,8873.08,13117.89,614.43,27323.22,26430.65
2024-06-26,32220.0,8870.1,13096.52,545.63,27743.45,26396.34
2024-06-27,30524.74,8940.37,13367.22,472.75,28264.13,26737.31
2024-06-28,32118.51,9049.55,13444.45,563.41,28581.03,27058.75
2024-06-29,32448.37,9047.29,13518.85,569.14,28888.41,27179.67
2024-06-30,32319.75,9146.59,13714.91,491.71,29309.61,27456.56
2024-07-01,32451.9,9148.22,13683.31,603.07,29848.87,27613.44
2024-07-02,32045.13,9162.78,13785.98,520.44,30228.98,27701.26
2024-07-03,33043.34,9284.72,13825.18,504.19,30439.93,27875.68
2024-07-04,31279.09,9036.37,13081.54,520.01,30707.94,26937.03
2024-07-05,29534.96,8767.72,12256.96,592.37,30949.51,25949.98
2024-07-06,26394.55,8462.81,11375.49,506.12,30825.83,24660.04
2024-07-07,24962.13,8260.87,10751.12,482.71,30314.13,23738.68
2024-07-08,23221.24,8054.14,10099.71,555.9,29654.53,22861.38
2024-07-09,23691.14,8089.19,10246.66,603.42,28768.42,22966.84
2024-07-10,24063.6,8177.23,10357.23,517.45,27954.82,22965.58
2024-07-11,23502.38,8123.38,10317.34,591.64,27056.55,22820.28
2024-07-12,23754.67,8119.61,10180.15,492.43,26250.68,22467.29
2024-07-13,24022.52,8211.19,10502.44,564.55,25631.49,22866.58
2024-07-14,24467.84,8298.77,10608.14,535.27,25349.69,22991.14
2024-07-15,23838.11,8311.53,10598.56,579.67,25269.31,23027.47
2024-07-16,24675.49,8315.04,10568.97,645.23,25284.29,23069.04
2024-07-17,24477.62,8362.72,10745.18,527.24,25335.35,23182.09
2024-07-18,25018.43,8409.85,10813.41,545.47,25330.18,23314.95
2024-07-19,23658.79,8427.66,10911.12,513.13,25440.55,23413.58
2024-07-20,25855.53,8604.14,11164.81,552.39,25355.49,23871.12
2024-07-21,25399.9,8558.8,11113.64,504.82,25495.13,23746.58
2024-07-22,25914.93,8677.02,11367.74,612.24,25552.83,24234.4
2024-07-23,26510.44,8742.87,11344.09,529.16,25713.01,24215.93
2024-07-24,26698.95,8810.06,11540.5,629.44,25841.58,24597.82
2024-07-25,25805.25,8827.98,11576.69,552.35,26004.56,24597.66
2024-07-26,27706.75,8899.34,11642.12,513.84,26032.68,24699.87
2024-07-27,26342.08,8867.77,11719.17,593.02,26390.21,24874.59
2024-07-28,26891.19,9006.99,11892.39,599.82,26373.44,25191.48
2024-07-29,25656.34,8891.17,11637.19,473.96,26464.4,24707.34
2024-07-30,26654.87,8982.52,11833.55,603.13,26365.73,25110.4
2024-07-31,26600.41,9062.21,12039.72,527.92,26322.42,25314.99
2024-08-01,32458.76,9420.26,12565.17,551.47,26243.54,26210.99
2024-08-02,37423.54,9791.42,12910.98,559.72,26921.53,27031.14
2024-08-03,40439.75,10042.79,13416.59,625.0,27977.73,28001.26
2024-08-04,37948.06,9933.38,13397.24,550.23,29537.98,28016.17
2024-08-05,39287.78,10117.67,13682.53,540.29,30782.8,28650.08
2024-08-06,38407.71,10004.67,13433.22,695.43,32318.09,28657.85
2024-08-07,38530.66,10116.37,13650.68,635.26,33651.05,29113.46
2024-08-08,40142.67,10229.19,13871.02,688.69,34999.08,29688.78
2024-08-09,39041.63,10272.26,13886.18,714.26,35945.76,29905.11
2024-08-10,41406.4,10398.22,14102.8,596.83,36271.35,30175.84
2024-08-11,39444.34,10359.55,14159.53,636.82,36554.28,30273.5
2024-08-12,41394.87,10429.02,14192.41,632.97,36864.37,30415.41
2024-08-13,41195.15,10429.23,14224.04,497.07,37263.18,30367.18
2024-08-14,35143.6,10077.03,13683.21,582.24,37718.92,29623.13
2024-08-15,29450.75,9818.38,13302.3,584.26,37494.5,28954.17
2024-08-16,29566.22,9844.62,13367.47,537.66,36472.79,28855.93
2024-08-17,31786.83,10000.94,13683.78,541.01,35588.55,29208.13
2024-08-18,31804.07,10001.54,13617.29,508.78,34690.14,28984.23
2024-08-19,32666.07,10183.51,13787.99,688.04,33994.73,29418.81
2024-08-20,31999.4,10187.18,13908.76,648.49,33194.18,29391.61
2024-08-21,32806.76,10140.44,13890.44,533.43,32333.42,29090.99
2024-08-22,33243.44,10191.72,13969.6,554.69,32165.17,29219.13
2024-08-23,32491.65,10219.41,14072.71,662.98,32624.14,29522.47
2024-08-24,31310.73,10297.48,14169.64,595.58,32967.95,29678.2
2024-08-25,33986.68,10404.33,14340.79,634.63,32973.57,29996.05
2024-08-26,33572.61,10338.24,14216.14,626.84,33267.86,29838.72
2024-08-27,33450.92,10406.58,14400.94,690.61,33443.33,30180.2
2024-08-28,33315.4,10498.44,14558.15,554.68,33661.29,30323.84
2024-08-29,33417.44,10621.41,14803.55,597.52,33784.1,30752.26
2024-08-30,34261.29,10593.35,14627.37,591.99,33811.78,30546.35
2024-08-31,33253.88,10580.29,14716.44,532.24,33954.86,30582.65
2024-09-01,33664.07,10620.44,14723.67,581.16,34072.18,30695.38
2024-09-02,34187.31,10777.36,15112.76,565.78,33994.02,31215.07
2024-09-03,33415.66,10707.75,14875.77,717.62,34000.84,31061.25
2024-09-04,34155.61,10791.85,15029.17,526.6,33943.83,31099.76
2024-09-05,39172.21,11479.23,16770.95,564.03,33980.98,33571.55
2024-09-06,45322.43,12192.49,18709.06,641.42,34546.06,36379.41
2024-09-07,49058.6,12967.05,20901.71,668.43,35719.46,39537.92
2024-09-08,52170.63,13364.57,22029.8,614.72,37381.92,41242.56
2024-09-09,54963.94,13517.54,22131.87,527.21,39368.93,41688.27
2024-09-10,53499.34,13560.48,22338.79,670.32,41591.98,42392.47
2024-09-11,54046.73,13535.24,22136.9,538.84,43732.18,42333.49
2024-09-12,54282.43,13746.89,22557.07,609.04,45923.82,43342.33
2024-09-13,55646.42,13704.62,22552.33,534.31,47700.9,43469.39
2024-09-14,55908.01,13848.18,22782.11,560.14,49012.73,44052.22
2024-09-15,53588.98,13689.01,22697.02,639.13,49956.11,44019.03
2024-09-16,55980.6,13922.12,22976.58,543.95,50331.36,44489.04
2024-09-17,56417.46,13928.41,22881.35,588.59,50682.82,44493.95
2024-09-18,57189.88,14109.05,23235.31,655.82,51236.25,45173.25
2024-09-19,55471.73,14032.71,23260.26,534.38,51811.82,45081.01
2024-09-20,58267.07,14180.35,23387.87,662.46,52168.91,45534.33
2024-09-21,57200.49,14262.42,23667.41,692.03,52707.14,46000.85
2024-09-22,57104.21,14326.85,23766.68,523.73,53113.78,46053.19
2024-09-23,57847.25,14338.45,23751.81,650.75,53712.99,46260.84
2024-09-24,56938.75,14420.06,24162.05,555.46,54159.74,46719.92
2024-09-25,58233.25,14475.56,24151.41,584.58,54463.52,46836.44
2024-09-26,60446.78,14698.24,24447.93,626.6,54834.84,47449.65
2024-09-27,57164.32,14396.15,23668.3,630.11,55621.94,46481.64
2024-09-28,54030.33,13902.46,22340.31,655.86,55757.06,44704.62
2024-09-29,48099.54,13262.28,20448.05,616.48,55662.64,42119.58
2024-09-30,44462.72,12767.2,19088.23,602.46,54916.84,40146.24
2024-10-01,40084.32,12116.55,17585.66,593.05,53688.48,37811.66
2024-10-02,41454.54,12284.51,17731.07,463.49,52074.49,37769.5
2024-10-03,5776.41,6128.97,5896.2,369.86,50474.82,19461.51
2024-10-04,5323.1,6069.31,5830.28,375.73,44649.97,18526.31
2024-10-05,6114.51,6213.41,5964.1,322.02,39037.29,17964.75
2024-10-06,5947.62,6193.77,5957.96,374.11,33785.59,17255.83
2024-10-07,16252.13,8679.62,10574.88,443.74,29075.15,23768.77
2024-10-08,41777.44,12444.01,17992.79,630.48,25839.32,34684.79
2024-10-09,41226.47,12465.53,18070.95,504.18,25883.04,34664.29
2024-10-10,42565.0,12565.18,18300.35,650.95,25722.88,35117.68
2024-10-11,41144.56,12465.66,17982.77,518.64,29276.19,35065.74
2024-10-12,41484.79,12466.17,18126.98,560.99,32702.96,35732.55
2024-10-13,41275.89,12605.26,18218.15,597.68,36085.45,36473.06
2024-10-14,42580.55,12672.52,18529.66,493.11,39486.35,37223.38
2024-10-15,43117.6,12763.92,18557.56,603.07,41975.62,37801.13
2024-10-16,42771.6,12654.61,18385.7,670.29,41967.14,37586.0
2024-10-17,42280.17,12788.01,18791.39,588.71,41967.17,38043.51
2024-10-18,44484.81,12945.57,18977.97,518.82,41797.35,38293.99
2024-10-19,43539.93,12944.3,19040.22,534.68,41983.71,38396.91
2024-10-20,66390.05,16180.05,25846.0,586.25,42042.86,48498.3
2024-10-21,68530.1,16340.15,26002.37,543.19,44653.77,49137.24
2024-10-22,66762.57,16426.49,26299.05,481.28,47363.18,49837.66
2024-10-23,69809.98,16505.55,26357.25,479.72,49832.93,50319.13
2024-10-24,67747.62,16399.77,26079.67,541.63,52660.81,50393.58
2024-10-25,67204.32,16456.35,26267.33,443.27,55285.78,50906.96
2024-10-26,65511.44,16469.1,26416.53,535.24,57665.3,51494.02
2024-10-27,69735.68,16664.35,26666.75,584.93,59985.46,52313.99
2024-10-28,68520.05,16665.0,26786.06,542.37,60551.84,52470.69
2024-10-29,69246.96,16614.84,26502.77,555.74,60808.59,52186.56
2024-10-30,67120.16,16653.21,26770.31,548.71,61369.49,52563.96
2024-10-31,69587.83,16800.77,26989.09,552.23,61375.5,52934.66
2024-11-01,47158.08,13550.33,20110.54,491.05,62243.21,42865.97
2024-11-02,46223.15,13394.01,19759.65,456.47,60686.82,42106.29
2024-11-03,46408.99,13489.91,19943.52,514.59,59187.73,42234.3
2024-11-04,46337.91,13392.63,19752.73,542.88,57288.57,41708.64
2024-11-05,45403.73,13439.73,19908.8,547.12,55392.7,41650.63
2024-11-06,46143.68,13544.23,20027.28,408.92,53047.23,41407.04
2024-11-07,45745.07,13515.88,19970.1,490.84,51002.27,41117.14
2024-11-08,42756.97,13113.09,18240.03,483.57,48652.07,38647.98
2024-11-09,37097.09,12389.4,15899.6,453.15,48229.23,35494.24
2024-11-10,36754.63,12101.41,14701.58,364.63,47269.62,33785.37
2024-11-11,34737.97,12065.63,14915.79,415.44,46255.74,33872.67
2024-11-12,36356.44,12150.48,14918.2,484.62,45011.72,33854.93
2024-11-13,35702.12,12116.77,14813.27,425.54,44034.55,33520.42
2024-11-14,36215.56,12135.94,14879.95,352.19,42914.65,33376.14
2024-11-15,35600.7,12181.02,14899.34,428.91,41896.72,33374.81
2024-11-16,36456.55,12240.98,15049.87,422.22,41085.9,33465.1
2024-11-17,35455.85,12261.75,15064.07,382.3,40945.95,33440.55
2024-11-18,36007.38,12202.46,15031.91,363.87,40484.64,33266.09
2024-11-19,34816.1,12238.16,15017.1,302.68,40263.12,33194.78
2024-11-20,35544.8,12207.87,15163.66,409.84,39766.8,33348.72
2024-11-21,35375.41,12192.34,15090.2,422.58,39383.95,33218.87
2024-11-22,36335.16,12268.53,15141.44,363.09,38953.09,33226.5
2024-11-23,36497.43,12469.81,15850.45,398.76,38695.79,34136.43
2024-11-24,40430.08,12978.85,17462.68,389.02,38389.01,36205.01
2024-11-25,44092.46,13498.24,19047.23,387.36,38572.45,38332.97
2024-11-26,49771.32,14034.8,20694.82,435.85,39119.23,40642.15
2024-11-27,48998.18,14022.74,20914.3,363.77,40406.09,40957.66
2024-11-28,49632.71,14072.54,20942.79,406.97,41557.26,41240.32
2024-11-29,47141.68,13929.56,20773.62,416.61,42769.19,41107.47
2024-11-30,48089.16,14005.92,20897.69,342.83,43849.66,41385.39
2024-12-01,48542.54,14025.39,20914.73,391.28,45028.83,41635.43
2024-12-02,48081.86,14004.47,20928.2,376.11,45862.93,41729.59
2024-12-03,48917.71,14102.12,20997.0,325.31,46280.56,41903.71
2024-12-04,49187.63,14203.37,21243.7,379.66,46232.85,42299.33
2024-12-05,50500.85,14229.53,21316.36,305.04,46284.41,42330.74
2024-12-06,50404.98,14406.17,21644.53,393.1,46422.18,42942.91
2024-12-07,49896.82,14256.99,21355.69,291.04,46830.45,42459.98
2024-12-08,48869.41,14222.83,21155.95,234.02,47148.35,42213.57
2024-12-09,48752.45,14207.94,21311.87,326.36,47310.84,42469.68
2024-12-10,83415.77,18707.95,30780.42,224.55,47528.06,56366.85
2024-12-11,84160.47,18786.22,30919.63,298.6,51482.07,57211.94
2024-12-12,86259.26,18926.87,31001.12,264.87,55498.55,57962.66
2024-12-13,82960.86,18875.63,31073.56,201.52,59610.57,58496.19
2024-12-14,85185.48,18886.89,31059.26,276.73,63373.59,59095.19
2024-12-15,83564.79,18729.97,30770.78,257.61,67424.55,59197.8
2024-12-16,83512.85,18767.15,30881.72,235.57,71409.54,59881.78
2024-12-17,86798.2,18936.74,31180.45,226.17,75394.57,60898.6
2024-12-18,82700.08,18792.7,31032.77,203.82,76289.77,60709.87
2024-12-19,86455.81,18965.55,31102.91,171.64,76648.96,60970.95
2024-12-20,85850.31,18981.56,31349.57,173.8,77215.91,61315.16
2024-12-21,83321.68,18828.86,31046.29,149.94,78035.37,60950.04
2024-12-22,85288.97,18928.31,31319.45,161.56,78350.68,61378.42
2024-12-23,84488.72,18851.11,31086.77,189.49,79003.73,61187.89
2024-12-24,84547.51,18868.76,31225.19,201.48,79534.13,61430.21
2024-12-25,83265.8,18862.3,31200.2,157.55,79681.67,61375.49
2024-12-26,85328.03,18905.08,31265.05,135.63,80105.39,61520.51
2024-12-27,83760.79,18828.63,31156.75,90.68,80375.06,61328.56
2024-12-28,84341.44,18774.55,30998.31,81.48,80558.46,61132.52
2024-12-29,84047.06,18854.85,31102.33,82.67,81048.85,61386.69
2024-12-30,82714.89,18706.82,30976.03,61.52,81305.07,61127.07
2024-12-31,86742.69,18940.79,31035.07,55.9,81498.75,61441.6
