PlayerID,RegistrationDate,Country,Age,Platform,CampaignID,Acquisition Channel,AcquisitionScenarioID,AcquisitionScenarioName,AcquisitionScenarioType,Player Type
87,2024-01-18,Germany,18,Steam,25,Friend Referral,,,,Trader
88,2024-01-18,Japan,60,Steam,9,Steam Wishlist,,,,Casual
89,2024-01-18,Spain,23,Steam,2,Organic Search,,,,Trader
90,2024-01-18,Sweden,22,Xbox,24,Friend Referral,,,,Hardcore
91,2024-01-18,Germany,50,Steam,24,Friend Referral,,,,Explorer
92,2024-01-18,Turkey,39,PlayStation,4,Organic Search,,,,Casual
93,2024-01-18,Germany,26,Xbox,16,Seasonal Sale,,,,Trader
94,2024-01-18,United Kingdom,29,Xbox,22,Creator/Streamer,,,,Hardcore
95,2024-01-18,United States,26,Steam,14,Seasonal Sale,,,,Hardcore
96,2024-01-18,Canada,31,Steam,19,Creator/Streamer,,,,Builder
97,2024-01-18,Canada,16,Steam,22,Creator/Streamer,,,,Hardcore
98,2024-01-18,France,16,Steam,10,Platform Store Feature,,,,Builder
99,2024-01-18,Turkey,26,Steam,1,Organic Search,,,,Explorer
100,2024-01-19,Canada,16,Steam,18,Creator/Streamer,,,,Explorer
101,2024-01-19,Japan,24,Steam,3,Organic Search,,,,Explorer
102,2024-01-19,Germany,24,Xbox,2,Organic Search,,,,Explorer
103,2024-01-19,Japan,27,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
104,2024-01-19,South Korea,25,Steam,2,Organic Search,,,,Explorer
105,2024-01-19,France,21,PlayStation,2,Organic Search,,,,Casual
106,2024-01-19,United States,21,PlayStation,14,Seasonal Sale,,,,Hardcore
107,2024-01-19,Australia,47,Steam,3,Organic Search,,,,Explorer
108,2024-01-19,Canada,24,Steam,2,Organic Search,,,,Builder
109,2024-01-20,France,20,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Casual
110,2024-01-20,South Korea,29,Steam,4,Organic Search,,,,Trader
111,2024-01-20,France,40,Steam,14,Seasonal Sale,,,,Trader
112,2024-01-20,South Korea,62,Steam,7,Steam Wishlist,,,,Explorer
113,2024-01-20,Germany,29,Xbox,9,Steam Wishlist,,,,Hardcore
114,2024-01-20,Sweden,29,Steam,25,Friend Referral,,,,Explorer
115,2024-01-20,Brazil,39,Steam,5,Steam Wishlist,,,,Casual
116,2024-01-20,Japan,33,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
117,2024-01-20,United Kingdom,28,PlayStation,19,Creator/Streamer,,,,Casual
118,2024-01-20,Germany,21,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Casual
119,2024-01-20,United States,49,Steam,5,Steam Wishlist,,,,Builder
120,2024-01-20,Germany,24,PlayStation,24,Friend Referral,,,,Explorer
121,2024-01-20,Germany,34,PlayStation,14,Seasonal Sale,,,,Explorer
122,2024-01-20,United States,25,Steam,15,Seasonal Sale,,,,Hardcore
123,2024-01-20,United States,28,Steam,11,Platform Store Feature,,,,Explorer
124,2024-01-20,United States,46,Steam,5,Steam Wishlist,,,,Builder
125,2024-01-20,United States,19,Xbox,23,Friend Referral,,,,Explorer
126,2024-01-20,United Kingdom,33,Xbox,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Casual
127,2024-01-20,Brazil,46,Steam,4,Organic Search,,,,Explorer
128,2024-01-20,Poland,48,Steam,12,Platform Store Feature,,,,Explorer
129,2024-01-21,United Kingdom,40,Steam,15,Seasonal Sale,,,,Explorer
130,2024-01-21,Brazil,43,PlayStation,22,Creator/Streamer,,,,Explorer
131,2024-01-21,United States,21,Steam,25,Friend Referral,,,,Builder
132,2024-01-21,Australia,22,Steam,22,Creator/Streamer,,,,Casual
133,2024-01-21,Brazil,21,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Trader
134,2024-01-21,United States,22,Xbox,12,Platform Store Feature,,,,Trader
135,2024-01-21,Brazil,25,Steam,17,Seasonal Sale,,,,Builder
136,2024-01-21,Canada,17,Steam,10,Platform Store Feature,,,,Builder
137,2024-01-21,Spain,21,Steam,16,Seasonal Sale,,,,Builder
138,2024-01-21,France,27,PlayStation,9,Steam Wishlist,,,,Explorer
139,2024-01-21,United States,30,Steam,24,Friend Referral,,,,Builder
140,2024-01-21,Canada,18,Steam,9,Steam Wishlist,,,,Explorer
141,2024-01-21,Turkey,27,Steam,22,Creator/Streamer,,,,Explorer
142,2024-01-21,United States,35,Steam,2,Organic Search,,,,Builder
143,2024-01-21,United States,40,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Trader
144,2024-01-21,United States,16,Steam,21,Creator/Streamer,,,,Builder
145,2024-01-22,Canada,19,Steam,11,Platform Store Feature,,,,Hardcore
146,2024-01-22,United States,26,PlayStation,25,Friend Referral,,,,Hardcore
147,2024-01-22,United Kingdom,26,Steam,8,Steam Wishlist,,,,Hardcore
148,2024-01-22,United States,29,Steam,5,Steam Wishlist,,,,Hardcore
149,2024-01-22,United States,30,Steam,6,Steam Wishlist,,,,Trader
150,2024-01-22,Germany,27,Steam,22,Creator/Streamer,,,,Builder
151,2024-01-22,United Kingdom,31,PlayStation,6,Steam Wishlist,,,,Casual
152,2024-01-22,United States,40,Steam,19,Creator/Streamer,,,,Trader
153,2024-01-22,Japan,20,Steam,17,Seasonal Sale,,,,Casual
154,2024-01-22,Canada,32,Steam,9,Steam Wishlist,,,,Builder
155,2024-01-22,Japan,34,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Builder
156,2024-01-22,Sweden,33,PlayStation,3,Organic Search,,,,Hardcore
157,2024-01-22,Japan,29,Steam,20,Creator/Streamer,,,,Explorer
158,2024-01-22,Japan,37,Steam,21,Creator/Streamer,,,,Casual
159,2024-01-22,Australia,58,Xbox,1,Organic Search,,,,Explorer
160,2024-01-22,United Kingdom,29,Steam,10,Platform Store Feature,,,,Hardcore
161,2024-01-22,United States,34,Steam,4,Organic Search,,,,Explorer
162,2024-01-23,Japan,22,Steam,6,Steam Wishlist,,,,Explorer
163,2024-01-23,Netherlands,24,Steam,9,Steam Wishlist,,,,Trader
164,2024-01-23,Poland,16,Steam,13,Platform Store Feature,,,,Trader
165,2024-01-23,Germany,30,Steam,6,Steam Wishlist,,,,Casual
166,2024-01-23,Germany,18,PlayStation,30,Paid User Acquisition,,,,Builder
167,2024-01-23,Japan,28,PlayStation,24,Friend Referral,,,,Trader
168,2024-01-23,Poland,25,Xbox,20,Creator/Streamer,,,,Explorer
169,2024-01-23,Germany,21,Steam,7,Steam Wishlist,,,,Builder
170,2024-01-23,United States,16,Steam,21,Creator/Streamer,,,,Builder
171,2024-01-23,United States,17,PlayStation,20,Creator/Streamer,,,,Casual
172,2024-01-23,Spain,30,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Hardcore
173,2024-01-23,United States,20,Steam,11,Platform Store Feature,,,,Casual
174,2024-01-23,Germany,29,PlayStation,8,Steam Wishlist,,,,Explorer
175,2024-01-23,Poland,18,PlayStation,3,Organic Search,,,,Explorer
176,2024-01-23,United States,28,Steam,4,Organic Search,,,,Explorer
177,2024-01-23,Brazil,59,Steam,24,Friend Referral,,,,Builder
178,2024-01-23,United States,16,Steam,22,Creator/Streamer,,,,Explorer
179,2024-01-23,United Kingdom,28,Steam,18,Creator/Streamer,,,,Casual
180,2024-01-23,Spain,34,Steam,30,Paid User Acquisition,,,,Explorer
181,2024-01-23,France,23,PlayStation,17,Seasonal Sale,,,,Explorer
182,2024-01-23,Turkey,30,PlayStation,26,Paid User Acquisition,,,,Trader
183,2024-01-23,Germany,22,Steam,11,Platform Store Feature,,,,Explorer
184,2024-01-23,Brazil,30,Steam,21,Creator/Streamer,,,,Explorer
185,2024-01-23,Poland,40,Steam,3,Organic Search,,,,Builder
186,2024-01-23,United States,22,Steam,17,Seasonal Sale,,,,Trader
187,2024-01-23,France,21,Xbox,3,Organic Search,,,,Trader
188,2024-01-23,South Korea,26,Steam,8,Steam Wishlist,,,,Builder
189,2024-01-23,Sweden,25,Steam,22,Creator/Streamer,,,,Casual
190,2024-01-23,United States,37,PlayStation,21,Creator/Streamer,,,,Explorer
191,2024-01-24,United Kingdom,34,PlayStation,4,Organic Search,,,,Hardcore
192,2024-01-24,United Kingdom,21,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
193,2024-01-24,France,36,Steam,3,Organic Search,,,,Casual
194,2024-01-24,United States,19,PlayStation,3,Organic Search,,,,Explorer
195,2024-01-24,United States,22,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Hardcore
196,2024-01-24,United Kingdom,30,Steam,15,Seasonal Sale,,,,Trader
197,2024-01-24,United Kingdom,33,Steam,10,Platform Store Feature,,,,Hardcore
198,2024-01-24,United Kingdom,21,Steam,5,Steam Wishlist,,,,Casual
199,2024-01-24,Brazil,41,Steam,4,Organic Search,,,,Casual
200,2024-01-24,United States,26,PlayStation,5,Steam Wishlist,,,,Casual
201,2024-01-24,Sweden,35,Steam,26,Paid User Acquisition,,,,Casual
202,2024-01-24,United Kingdom,30,Steam,17,Seasonal Sale,,,,Hardcore
203,2024-01-24,Germany,33,Steam,22,Creator/Streamer,,,,Explorer
204,2024-01-24,United Kingdom,34,Xbox,11,Platform Store Feature,,,,Explorer
205,2024-01-24,Germany,19,PlayStation,4,Organic Search,,,,Casual
206,2024-01-24,Germany,61,PlayStation,5,Steam Wishlist,,,,Casual
207,2024-01-25,Poland,27,Steam,14,Seasonal Sale,,,,Trader
208,2024-01-25,United Kingdom,39,Steam,16,Seasonal Sale,,,,Casual
209,2024-01-25,Japan,28,Steam,5,Steam Wishlist,,,,Hardcore
210,2024-01-25,Japan,18,Xbox,17,Seasonal Sale,,,,Builder
211,2024-01-25,Germany,32,PlayStation,12,Platform Store Feature,,,,Explorer
212,2024-01-25,United States,24,PlayStation,13,Platform Store Feature,,,,Trader
213,2024-01-25,Japan,33,Steam,16,Seasonal Sale,,,,Trader
214,2024-01-25,Australia,26,Steam,6,Steam Wishlist,,,,Casual
215,2024-01-25,Germany,22,PlayStation,3,Organic Search,,,,Builder
216,2024-01-25,Canada,29,Steam,4,Organic Search,,,,Explorer
217,2024-01-25,Brazil,30,PlayStation,4,Organic Search,,,,Trader
218,2024-01-25,Germany,35,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Hardcore
219,2024-01-25,United States,33,PlayStation,1,Organic Search,,,,Casual
220,2024-01-25,United States,47,Steam,10,Platform Store Feature,,,,Explorer
221,2024-01-25,Japan,44,Steam,5,Steam Wishlist,,,,Casual
222,2024-01-25,France,31,Steam,11,Platform Store Feature,,,,Casual
223,2024-01-25,Australia,36,Steam,21,Creator/Streamer,,,,Explorer
224,2024-01-25,United States,38,Xbox,20,Creator/Streamer,,,,Explorer
225,2024-01-25,United Kingdom,31,Steam,10,Platform Store Feature,,,,Explorer
226,2024-01-25,Japan,20,Steam,7,Steam Wishlist,,,,Explorer
227,2024-01-25,Sweden,32,Steam,4,Organic Search,,,,Builder
228,2024-01-25,Spain,20,Steam,4,Organic Search,,,,Trader
229,2024-01-25,Brazil,19,Steam,14,Seasonal Sale,,,,Explorer
230,2024-01-25,Brazil,57,PlayStation,17,Seasonal Sale,,,,Builder
231,2024-01-25,France,24,Steam,22,Creator/Streamer,,,,Hardcore
232,2024-01-26,France,26,PlayStation,6,Steam Wishlist,,,,Casual
233,2024-01-26,United States,32,Steam,10,Platform Store Feature,,,,Casual
234,2024-01-26,Poland,28,Steam,25,Friend Referral,,,,Casual
235,2024-01-26,United States,16,Steam,28,Paid User Acquisition,,,,Hardcore
236,2024-01-26,Netherlands,24,PlayStation,14,Seasonal Sale,,,,Explorer
237,2024-01-26,Turkey,32,PlayStation,14,Seasonal Sale,,,,Casual
238,2024-01-26,United States,38,PlayStation,2,Organic Search,,,,Explorer
239,2024-01-26,South Korea,35,Steam,16,Seasonal Sale,,,,Hardcore
240,2024-01-26,United States,31,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Builder
241,2024-01-26,Turkey,29,Steam,21,Creator/Streamer,,,,Builder
242,2024-01-26,Brazil,31,Xbox,5,Steam Wishlist,,,,Explorer
243,2024-01-26,Poland,40,Steam,2,Organic Search,,,,Explorer
244,2024-01-26,Germany,28,Steam,1,Organic Search,,,,Builder
245,2024-01-26,United States,29,PlayStation,5,Steam Wishlist,,,,Trader
246,2024-01-26,United Kingdom,24,Steam,2,Organic Search,,,,Builder
247,2024-01-26,Canada,29,PlayStation,10,Platform Store Feature,,,,Casual
248,2024-01-26,Turkey,23,Steam,1,Organic Search,,,,Casual
249,2024-01-26,Canada,37,Steam,19,Creator/Streamer,,,,Casual
250,2024-01-26,France,39,Xbox,19,Creator/Streamer,,,,Hardcore
251,2024-01-26,Brazil,58,Steam,26,Paid User Acquisition,,,,Casual
252,2024-01-26,Poland,25,PlayStation,16,Seasonal Sale,,,,Trader
253,2024-01-26,Germany,29,Steam,6,Steam Wishlist,,,,Casual
254,2024-01-27,Spain,42,Xbox,1,Organic Search,,,,Builder
255,2024-01-27,France,31,Xbox,2,Organic Search,,,,Trader
256,2024-01-27,France,30,PlayStation,6,Steam Wishlist,,,,Hardcore
257,2024-01-27,United States,25,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
258,2024-01-27,United States,35,Steam,22,Creator/Streamer,,,,Casual
259,2024-01-27,United States,33,Steam,19,Creator/Streamer,,,,Trader
260,2024-01-27,United States,32,Steam,14,Seasonal Sale,,,,Hardcore
261,2024-01-27,Spain,40,Steam,14,Seasonal Sale,,,,Explorer
262,2024-01-27,United States,35,Steam,3,Organic Search,,,,Builder
263,2024-01-27,Canada,19,Steam,18,Creator/Streamer,,,,Explorer
264,2024-01-27,United States,24,Steam,2,Organic Search,,,,Casual
265,2024-01-27,Germany,24,PlayStation,2,Organic Search,,,,Casual
266,2024-01-27,United Kingdom,19,Xbox,18,Creator/Streamer,,,,Casual
267,2024-01-27,Turkey,26,PlayStation,16,Seasonal Sale,,,,Hardcore
268,2024-01-27,United Kingdom,29,Steam,6,Steam Wishlist,,,,Explorer
269,2024-01-27,United Kingdom,59,Steam,20,Creator/Streamer,,,,Hardcore
270,2024-01-27,Germany,24,Steam,2,Organic Search,,,,Casual
271,2024-01-27,France,18,Steam,4,Organic Search,,,,Hardcore
272,2024-01-27,Canada,48,PlayStation,6,Steam Wishlist,,,,Trader
273,2024-01-27,United States,25,Steam,21,Creator/Streamer,,,,Casual
274,2024-01-27,United States,37,Steam,20,Creator/Streamer,,,,Builder
275,2024-01-27,United Kingdom,37,Steam,27,Paid User Acquisition,,,,Explorer
276,2024-01-27,United Kingdom,28,Xbox,29,Paid User Acquisition,,,,Casual
277,2024-01-27,Brazil,47,Xbox,7,Steam Wishlist,,,,Explorer
278,2024-01-27,South Korea,25,PlayStation,10,Platform Store Feature,,,,Casual
279,2024-01-27,United Kingdom,51,Steam,14,Seasonal Sale,,,,Trader
280,2024-01-27,United States,25,Steam,12,Platform Store Feature,,,,Explorer
281,2024-01-28,United Kingdom,21,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Hardcore
282,2024-01-28,United Kingdom,47,PlayStation,2,Organic Search,,,,Builder
283,2024-01-28,Canada,26,Steam,19,Creator/Streamer,,,,Trader
284,2024-01-28,Turkey,22,Steam,4,Organic Search,,,,Explorer
285,2024-01-28,United States,50,PlayStation,2,Organic Search,,,,Casual
286,2024-01-28,Sweden,39,Steam,30,Paid User Acquisition,,,,Casual
287,2024-01-28,United States,23,Steam,20,Creator/Streamer,,,,Builder
288,2024-01-28,Germany,39,Steam,18,Creator/Streamer,,,,Builder
289,2024-01-28,Spain,34,Steam,2,Organic Search,,,,Explorer
290,2024-01-28,Turkey,25,Steam,30,Paid User Acquisition,,,,Hardcore
291,2024-01-28,United Kingdom,34,Steam,4,Organic Search,,,,Explorer
292,2024-01-28,Germany,31,Steam,23,Friend Referral,,,,Builder
293,2024-01-28,Canada,25,Steam,22,Creator/Streamer,,,,Explorer
294,2024-01-28,Brazil,34,Steam,5,Steam Wishlist,,,,Explorer
295,2024-01-28,United States,24,Steam,3,Organic Search,,,,Casual
296,2024-01-28,Germany,23,Xbox,8,Steam Wishlist,,,,Casual
297,2024-01-28,Germany,34,PlayStation,24,Friend Referral,,,,Hardcore
298,2024-01-28,Brazil,30,Steam,28,Paid User Acquisition,,,,Builder
299,2024-01-28,Australia,34,Steam,8,Steam Wishlist,,,,Casual
300,2024-01-28,United Kingdom,22,Steam,10,Platform Store Feature,,,,Explorer
301,2024-01-28,Germany,51,Steam,5,Steam Wishlist,,,,Hardcore
302,2024-01-28,Turkey,22,Steam,10,Platform Store Feature,,,,Trader
303,2024-01-28,South Korea,44,Steam,4,Organic Search,,,,Trader
304,2024-01-28,Canada,25,Steam,3,Organic Search,,,,Builder
305,2024-01-28,Germany,44,Steam,3,Organic Search,,,,Trader
306,2024-01-28,United States,28,Steam,12,Platform Store Feature,,,,Hardcore
307,2024-01-28,United States,60,Steam,20,Creator/Streamer,,,,Trader
308,2024-01-28,United States,38,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Builder
309,2024-01-28,France,26,Xbox,23,Friend Referral,,,,Explorer
310,2024-01-28,United States,22,PlayStation,18,Creator/Streamer,,,,Explorer
311,2024-01-29,Netherlands,19,Steam,4,Organic Search,,,,Hardcore
312,2024-01-29,United States,25,Steam,6,Steam Wishlist,,,,Hardcore
313,2024-01-29,Turkey,32,Steam,9,Steam Wishlist,,,,Explorer
314,2024-01-29,South Korea,35,Steam,12,Platform Store Feature,,,,Explorer
315,2024-01-29,South Korea,49,Steam,9,Steam Wishlist,,,,Explorer
316,2024-01-29,Sweden,20,Steam,10,Platform Store Feature,,,,Hardcore
317,2024-01-29,United States,40,Steam,20,Creator/Streamer,,,,Hardcore
318,2024-01-29,Poland,26,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Explorer
319,2024-01-29,Canada,33,Steam,23,Friend Referral,,,,Explorer
320,2024-01-29,United States,28,Steam,3,Organic Search,,,,Casual
321,2024-01-29,United States,26,Steam,9,Steam Wishlist,,,,Builder
322,2024-01-29,Germany,31,PlayStation,30,Paid User Acquisition,,,,Builder
323,2024-01-29,Germany,24,Steam,10,Platform Store Feature,,,,Explorer
324,2024-01-29,United States,65,Steam,23,Friend Referral,,,,Trader
325,2024-01-29,Poland,26,PlayStation,26,Paid User Acquisition,,,,Casual
326,2024-01-29,Turkey,22,PlayStation,1,Organic Search,,,,Casual
327,2024-01-29,United States,40,Xbox,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Casual
328,2024-01-29,United Kingdom,24,Steam,4,Organic Search,,,,Trader
329,2024-01-29,Brazil,46,Steam,7,Steam Wishlist,,,,Hardcore
330,2024-01-29,Turkey,30,Steam,22,Creator/Streamer,,,,Explorer
331,2024-01-29,South Korea,34,Steam,12,Platform Store Feature,,,,Explorer
332,2024-01-29,Brazil,33,Steam,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Casual
333,2024-01-29,United States,43,Steam,3,Organic Search,,,,Hardcore
334,2024-01-29,Japan,17,Steam,7,Steam Wishlist,,,,Explorer
335,2024-01-29,United Kingdom,58,Steam,9,Steam Wishlist,,,,Builder
336,2024-01-29,Japan,29,Steam,11,Platform Store Feature,,,,Builder
337,2024-01-29,Canada,18,Steam,19,Creator/Streamer,,,,Explorer
338,2024-01-29,Netherlands,40,PlayStation,17,Seasonal Sale,,,,Explorer
339,2024-01-29,Poland,33,PlayStation,2,Organic Search,,,,Builder
340,2024-01-29,United States,31,Steam,15,Seasonal Sale,,,,Casual
341,2024-01-29,Canada,28,Steam,24,Friend Referral,,,,Builder
342,2024-01-29,United Kingdom,25,Steam,13,Platform Store Feature,,,,Explorer
343,2024-01-29,Brazil,22,Steam,9,Steam Wishlist,,,,Explorer
344,2024-01-29,Canada,22,Steam,6,Steam Wishlist,,,,Explorer
345,2024-01-30,United States,30,Xbox,3,Organic Search,,,,Explorer
346,2024-01-30,United Kingdom,17,Steam,10,Platform Store Feature,,,,Hardcore
347,2024-01-30,Japan,24,Steam,10,Platform Store Feature,,,,Hardcore
348,2024-01-30,United States,29,PlayStation,31,Creator/Streamer,1,Creator Launch Push,Marketing Campaign,Trader
349,2024-01-30,Turkey,38,Steam,4,Organic Search,,,,Hardcore
350,2024-01-30,United States,26,Steam,24,Friend Referral,,,,Casual
351,2024-01-30,Netherlands,23,Steam,6,Steam Wishlist,,,,Explorer
352,2024-01-30,Germany,21,Steam,7,Steam Wishlist,,,,Casual
353,2024-01-30,Poland,34,Steam,22,Creator/Streamer,,,,Explorer
354,2024-01-30,United States,37,PlayStation,5,Steam Wishlist,,,,Hardcore
355,2024-01-30,France,16,PlayStation,15,Seasonal Sale,,,,Casual
356,2024-01-30,Japan,49,Steam,8,Steam Wishlist,,,,Hardcore
357,2024-01-30,Turkey,35,Steam,24,Friend Referral,,,,Trader
